entity_id,state,last_changed,current_temperature,hvac_action,target_temp_high,target_temp_low,temperature
sensor.corridoio_temperatura_2,19.25818235948333,2026-01-04T19:00:00.000Z
sensor.corridoio_temperatura_2,19.184404474819445,2026-01-04T20:00:00.000Z
sensor.corridoio_temperatura_2,19.16501170961389,2026-01-04T21:00:00.000Z
sensor.corridoio_temperatura_2,18.98951548308889,2026-01-04T22:00:00.000Z
sensor.corridoio_temperatura_2,18.91107047026667,2026-01-04T23:00:00.000Z
sensor.corridoio_temperatura_2,18.765443686430554,2026-01-05T00:00:00.000Z
sensor.corridoio_temperatura_2,18.629250170672222,2026-01-05T01:00:00.000Z
sensor.corridoio_temperatura_2,18.502740014186113,2026-01-05T02:00:00.000Z
sensor.corridoio_temperatura_2,18.377424940083333,2026-01-05T03:00:00.000Z
sensor.corridoio_temperatura_2,18.28608861394167,2026-01-05T04:00:00.000Z
sensor.corridoio_temperatura_2,18.17324797482222,2026-01-05T05:00:00.000Z
sensor.corridoio_temperatura_2,18.195567694311112,2026-01-05T06:00:00.000Z
sensor.corridoio_temperatura_2,18.34018081966389,2026-01-05T07:00:00.000Z
sensor.corridoio_temperatura_2,18.41612635392778,2026-01-05T08:00:00.000Z
sensor.corridoio_temperatura_2,18.402438035575,2026-01-05T09:00:00.000Z
sensor.corridoio_temperatura_2,18.329222814083334,2026-01-05T10:00:00.000Z
sensor.corridoio_temperatura_2,18.32150093395,2026-01-05T11:00:00.000Z
sensor.corridoio_temperatura_2,18.247006427686113,2026-01-05T12:00:00.000Z
sensor.corridoio_temperatura_2,18.20473755543889,2026-01-05T13:00:00.000Z
sensor.corridoio_temperatura_2,18.150463669369444,2026-01-05T14:00:00.000Z
sensor.corridoio_temperatura_2,18.039515572172224,2026-01-05T15:00:00.000Z
sensor.corridoio_temperatura_2,18.105573004902777,2026-01-05T16:00:00.000Z
sensor.corridoio_temperatura_2,18.28329848701389,2026-01-05T17:00:00.000Z
sensor.corridoio_temperatura_2,18.312621590724998,2026-01-05T18:00:00.000Z
sensor.corridoio_temperatura_2,18.377266200727778,2026-01-05T19:00:00.000Z
sensor.corridoio_temperatura_2,18.469064515247222,2026-01-05T20:00:00.000Z
sensor.corridoio_temperatura_2,18.527277677294446,2026-01-05T21:00:00.000Z
sensor.corridoio_temperatura_2,18.535048264630557,2026-01-05T22:00:00.000Z
sensor.corridoio_temperatura_2,18.46151182608788,2026-01-05T23:00:00.000Z
sensor.corridoio_temperatura_2,18.409017449219444,2026-01-06T00:00:00.000Z
sensor.corridoio_temperatura_2,18.30824515326111,2026-01-06T01:00:00.000Z
sensor.corridoio_temperatura_2,18.2136270385,2026-01-06T02:00:00.000Z
sensor.corridoio_temperatura_2,18.11241785257222,2026-01-06T03:00:00.000Z
sensor.corridoio_temperatura_2,18.004852659875,2026-01-06T04:00:00.000Z
sensor.corridoio_temperatura_2,17.889812325127778,2026-01-06T05:00:00.000Z
sensor.corridoio_temperatura_2,17.98419338171389,2026-01-06T06:00:00.000Z
sensor.corridoio_temperatura_2,18.176808255583335,2026-01-06T07:00:00.000Z
sensor.corridoio_temperatura_2,18.256054438541668,2026-01-06T08:00:00.000Z
sensor.corridoio_temperatura_2,18.20693733216389,2026-01-06T09:00:00.000Z
sensor.corridoio_temperatura_2,18.417474519219443,2026-01-06T10:00:00.000Z
sensor.corridoio_temperatura_2,18.64619526515,2026-01-06T11:00:00.000Z
sensor.corridoio_temperatura_2,18.748914227447223,2026-01-06T12:00:00.000Z
sensor.corridoio_temperatura_2,18.79341988391111,2026-01-06T13:00:00.000Z
sensor.corridoio_temperatura_2,18.995562048997222,2026-01-06T14:00:00.000Z
sensor.corridoio_temperatura_2,18.98762479101389,2026-01-06T15:00:00.000Z
sensor.corridoio_temperatura_2,18.808264910547223,2026-01-06T16:00:00.000Z
sensor.corridoio_temperatura_2,18.79800741972222,2026-01-06T17:00:00.000Z
sensor.corridoio_temperatura_2,18.81814973833611,2026-01-06T18:00:00.000Z
sensor.corridoio_temperatura_2,18.84957291906389,2026-01-06T19:00:00.000Z
sensor.corridoio_temperatura_2,18.865116473169447,2026-01-06T20:00:00.000Z
sensor.corridoio_temperatura_2,18.804367762644443,2026-01-06T21:00:00.000Z
sensor.corridoio_temperatura_2,18.682702566322224,2026-01-06T22:00:00.000Z
sensor.corridoio_temperatura_2,18.637010529630555,2026-01-06T23:00:00.000Z
sensor.corridoio_temperatura_2,18.564373915166666,2026-01-07T00:00:00.000Z
sensor.corridoio_temperatura_2,18.451629390052776,2026-01-07T01:00:00.000Z
sensor.corridoio_temperatura_2,18.347513762130557,2026-01-07T02:00:00.000Z
sensor.corridoio_temperatura_2,18.252572684975,2026-01-07T03:00:00.000Z
sensor.corridoio_temperatura_2,18.14889022571111,2026-01-07T04:00:00.000Z
sensor.corridoio_temperatura_2,18.034585178669445,2026-01-07T05:00:00.000Z
sensor.corridoio_temperatura_2,18.086032063486112,2026-01-07T06:00:00.000Z
sensor.corridoio_temperatura_2,18.197305459591664,2026-01-07T07:00:00.000Z
sensor.corridoio_temperatura_2,18.167422595602776,2026-01-07T08:00:00.000Z
sensor.corridoio_temperatura_2,18.13800889478889,2026-01-07T09:00:00.000Z
sensor.corridoio_temperatura_2,18.130782692569444,2026-01-07T10:00:00.000Z
sensor.corridoio_temperatura_2,18.1066125899,2026-01-07T11:00:00.000Z
sensor.corridoio_temperatura_2,18.116521329155557,2026-01-07T12:00:00.000Z
sensor.corridoio_temperatura_2,18.137108487172224,2026-01-07T13:00:00.000Z
sensor.corridoio_temperatura_2,18.226024531625,2026-01-07T14:00:00.000Z
sensor.corridoio_temperatura_2,18.255585417833334,2026-01-07T15:00:00.000Z
sensor.corridoio_temperatura_2,18.22883695831111,2026-01-07T16:00:00.000Z
sensor.corridoio_temperatura_2,18.251815411488888,2026-01-07T17:00:00.000Z
sensor.corridoio_temperatura_2,18.279013088455557,2026-01-07T18:00:00.000Z
sensor.corridoio_temperatura_2,18.35612162269722,2026-01-07T19:00:00.000Z
sensor.corridoio_temperatura_2,18.41561739228889,2026-01-07T20:00:00.000Z
sensor.corridoio_temperatura_2,18.428590170875,2026-01-07T21:00:00.000Z
sensor.corridoio_temperatura_2,18.442439736433332,2026-01-07T22:00:00.000Z
sensor.corridoio_temperatura_2,18.382545201658335,2026-01-07T23:00:00.000Z
sensor.corridoio_temperatura_2,18.294477631808334,2026-01-08T00:00:00.000Z
sensor.corridoio_temperatura_2,18.176051097475,2026-01-08T01:00:00.000Z
sensor.corridoio_temperatura_2,18.073460465819444,2026-01-08T02:00:00.000Z
sensor.corridoio_temperatura_2,17.964196138897222,2026-01-08T03:00:00.000Z
sensor.corridoio_temperatura_2,17.847378833413888,2026-01-08T04:00:00.000Z
sensor.corridoio_temperatura_2,17.763855118511113,2026-01-08T05:00:00.000Z
sensor.corridoio_temperatura_2,17.88740468613611,2026-01-08T06:00:00.000Z
sensor.corridoio_temperatura_2,17.995080229205556,2026-01-08T07:00:00.000Z
sensor.corridoio_temperatura_2,17.965563153375,2026-01-08T08:00:00.000Z
sensor.corridoio_temperatura_2,17.941324778372223,2026-01-08T09:00:00.000Z
