entity_id,state,last_changed,current_temperature,hvac_action,target_temp_high,target_temp_low,temperature
sensor.camera_matrimoniale_temperatura,unavailable,2026-08-01T08:24:38.485Z
sensor.camera_matrimoniale_temperatura_2,26.758261869086112,2026-01-04T14:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,27.699390210544447,2026-01-04T15:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,27.656020884508333,2026-01-04T16:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,27.29526403850278,2026-01-04T17:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,27.747409662772224,2026-01-04T18:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,27.85700741748333,2026-01-04T19:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,28.063760255355557,2026-01-04T20:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,26.855905128063892,2026-01-04T21:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,23.362470152330555,2026-01-04T22:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,21.337815806591667,2026-01-04T23:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,20.270620180544444,2026-01-05T00:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,19.609719697061113,2026-01-05T01:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,19.134946164930554,2026-01-05T02:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,18.836043012919443,2026-01-05T03:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,20.098887423102777,2026-01-05T04:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,20.18236219533056,2026-01-05T05:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,24.213437550380558,2026-01-05T06:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,26.83357948442222,2026-01-05T07:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,27.639464711625,2026-01-05T08:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,26.679128384977776,2026-01-05T09:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,23.967651783975,2026-01-05T10:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,21.451020658199997,2026-01-05T11:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,20.202642522905553,2026-01-05T12:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,19.568682996575,2026-01-05T13:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,19.08351325271111,2026-01-05T14:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,19.812638338105554,2026-01-05T15:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,24.854421485530555,2026-01-05T16:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,26.237972734108336,2026-01-05T17:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,26.87962331752222,2026-01-05T18:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,27.17189280305,2026-01-05T19:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,27.18849449243611,2026-01-05T20:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,26.006896712488892,2026-01-05T21:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,23.015829111580558,2026-01-05T22:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,20.87198365498182,2026-01-05T23:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,19.740051147144445,2026-01-06T00:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,19.00700399,2026-01-06T01:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,18.564217636380555,2026-01-06T02:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,19.538485105350002,2026-01-06T03:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,19.7327237455,2026-01-06T04:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,21.32482861729722,2026-01-06T05:00:00.000Z
sensor.camera_matrimoniale_temperatura_2,25.096802999100003,2026-01-06T06:00:00.000Z
